Time SenderId SenderProto ReceiverId ReceiverProto   Commodity        Quantity           
221  74       LWR_storage 186        LWR_separations UOX_spent_stored 83333.33329999998  
222  74       LWR_storage 187        LWR_separations UOX_spent_stored 83333.33329999998  
222  74       LWR_storage 186        LWR_separations UOX_spent_stored 83333.33329999998  
223  74       LWR_storage 187        LWR_separations UOX_spent_stored 83333.33329999998  
223  74       LWR_storage 186        LWR_separations UOX_spent_stored 83333.33329999998  
224  74       LWR_storage 187        LWR_separations UOX_spent_stored 83333.33329999998  
224  74       LWR_storage 186        LWR_separations UOX_spent_stored 83333.33329999998  
225  74       LWR_storage 187        LWR_separations UOX_spent_stored 83333.33329999998  
225  74       LWR_storage 186        LWR_separations UOX_spent_stored 83333.33329999998  
226  74       LWR_storage 187        LWR_separations UOX_spent_stored 83333.33329999998  
226  74       LWR_storage 186        LWR_separations UOX_spent_stored 83333.33329999998  
227  74       LWR_storage 187        LWR_separations UOX_spent_stored 83333.33329999998  
227  74       LWR_storage 186        LWR_separations UOX_spent_stored 83333.33329999998  
228  74       LWR_storage 187        LWR_separations UOX_spent_stored 83333.33329999998  
228  74       LWR_storage 186        LWR_separations UOX_spent_stored 83333.33329999998  
229  74       LWR_storage 187        LWR_separations UOX_spent_stored 83333.33329999998  
229  74       LWR_storage 186        LWR_separations UOX_spent_stored 83333.33329999998  
230  74       LWR_storage 187        LWR_separations UOX_spent_stored 83333.33329999998  
230  74       LWR_storage 186        LWR_separations UOX_spent_stored 83333.33329999998  
231  74       LWR_storage 187        LWR_separations UOX_spent_stored 83333.33329999998  
231  74       LWR_storage 186        LWR_separations UOX_spent_stored 83333.33329999998  
232  74       LWR_storage 187        LWR_separations UOX_spent_stored 83333.33329999998  
232  74       LWR_storage 186        LWR_separations UOX_spent_stored 83333.33329999998  
233  74       LWR_storage 187        LWR_separations UOX_spent_stored 83333.33329999998  
233  74       LWR_storage 186        LWR_separations UOX_spent_stored 83333.33329999998  
234  74       LWR_storage 187        LWR_separations UOX_spent_stored 83333.33329999998  
234  74       LWR_storage 186        LWR_separations UOX_spent_stored 83333.33329999998  
235  74       LWR_storage 187        LWR_separations UOX_spent_stored 83333.33329999998  
235  74       LWR_storage 186        LWR_separations UOX_spent_stored 83333.33329999998  
236  74       LWR_storage 187        LWR_separations UOX_spent_stored 83333.3333         
236  74       LWR_storage 186        LWR_separations UOX_spent_stored 83333.33329999998  
237  74       LWR_storage 187        LWR_separations UOX_spent_stored 83333.33329999998  
237  74       LWR_storage 186        LWR_separations UOX_spent_stored 83333.33329999998  
238  74       LWR_storage 187        LWR_separations UOX_spent_stored 83333.33329999998  
238  74       LWR_storage 186        LWR_separations UOX_spent_stored 83333.33329999998  
239  74       LWR_storage 187        LWR_separations UOX_spent_stored 83333.33329999998  
239  74       LWR_storage 186        LWR_separations UOX_spent_stored 83333.33329999998  
240  74       LWR_storage 187        LWR_separations UOX_spent_stored 83333.33329999998  
240  74       LWR_storage 186        LWR_separations UOX_spent_stored 83333.33329999998  
241  74       LWR_storage 187        LWR_separations UOX_spent_stored 83333.33329999998  
241  74       LWR_storage 186        LWR_separations UOX_spent_stored 83333.33329999998  
242  74       LWR_storage 187        LWR_separations UOX_spent_stored 83333.33329999998  
242  74       LWR_storage 186        LWR_separations UOX_spent_stored 83333.33329999998  
243  74       LWR_storage 187        LWR_separations UOX_spent_stored 83333.33329999998  
243  74       LWR_storage 186        LWR_separations UOX_spent_stored 83333.33329999998  
244  74       LWR_storage 187        LWR_separations UOX_spent_stored 83333.33329999998  
244  74       LWR_storage 186        LWR_separations UOX_spent_stored 83333.33329999998  
245  74       LWR_storage 187        LWR_separations UOX_spent_stored 83333.33329999998  
245  74       LWR_storage 186        LWR_separations UOX_spent_stored 83333.33329999998  
246  74       LWR_storage 187        LWR_separations UOX_spent_stored 83333.33329999998  
246  74       LWR_storage 186        LWR_separations UOX_spent_stored 83333.33329999998  
247  74       LWR_storage 187        LWR_separations UOX_spent_stored 83333.33329999998  
247  74       LWR_storage 186        LWR_separations UOX_spent_stored 83333.33329999998  
248  74       LWR_storage 187        LWR_separations UOX_spent_stored 83333.33329999998  
248  74       LWR_storage 186        LWR_separations UOX_spent_stored 83333.33329999998  
249  74       LWR_storage 187        LWR_separations UOX_spent_stored 83333.33329999998  
249  74       LWR_storage 186        LWR_separations UOX_spent_stored 83333.33329999998  
250  74       LWR_storage 187        LWR_separations UOX_spent_stored 83333.33329999998  
250  74       LWR_storage 186        LWR_separations UOX_spent_stored 83333.33329999998  
251  74       LWR_storage 187        LWR_separations UOX_spent_stored 83333.33329999998  
251  74       LWR_storage 186        LWR_separations UOX_spent_stored 83333.3333         
252  74       LWR_storage 187        LWR_separations UOX_spent_stored 83333.33329999998  
252  74       LWR_storage 186        LWR_separations UOX_spent_stored 83333.33329999998  
253  74       LWR_storage 187        LWR_separations UOX_spent_stored 83333.33329999998  
253  74       LWR_storage 186        LWR_separations UOX_spent_stored 83333.33329999998  
254  74       LWR_storage 187        LWR_separations UOX_spent_stored 83333.33329999998  
254  74       LWR_storage 186        LWR_separations UOX_spent_stored 83333.33329999998  
255  74       LWR_storage 187        LWR_separations UOX_spent_stored 83333.33329999998  
255  74       LWR_storage 186        LWR_separations UOX_spent_stored 83333.33329999998  
256  74       LWR_storage 187        LWR_separations UOX_spent_stored 83333.33329999998  
256  74       LWR_storage 186        LWR_separations UOX_spent_stored 83333.33329999998  
257  74       LWR_storage 187        LWR_separations UOX_spent_stored 83333.33329999998  
257  74       LWR_storage 186        LWR_separations UOX_spent_stored 83333.33329999998  
258  74       LWR_storage 187        LWR_separations UOX_spent_stored 83333.33329999998  
258  74       LWR_storage 186        LWR_separations UOX_spent_stored 83333.33329999998  
259  74       LWR_storage 187        LWR_separations UOX_spent_stored 83333.33329999998  
259  74       LWR_storage 186        LWR_separations UOX_spent_stored 83333.33329999998  
260  74       LWR_storage 187        LWR_separations UOX_spent_stored 83333.33329999998  
260  74       LWR_storage 186        LWR_separations UOX_spent_stored 83333.33329999998  
261  74       LWR_storage 187        LWR_separations UOX_spent_stored 83333.33329999998  
261  74       LWR_storage 186        LWR_separations UOX_spent_stored 83333.33329999998  
262  74       LWR_storage 187        LWR_separations UOX_spent_stored 83333.33329999998  
