Time SenderId SenderProto   ReceiverId ReceiverProto     Commodity          Quantity               
742  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
743  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
745  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
747  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 29960                  
748  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
749  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
750  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 29960                  
752  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
754  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
755  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
756  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
758  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
759  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 22470.000000000004     
760  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 29960                  
761  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
762  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
763  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 29960                  
765  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
767  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
768  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
769  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
771  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 29960                  
772  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 22470.000000000004     
773  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 29960                  
774  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
775  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
776  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 29960                  
778  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
780  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
781  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
782  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
783  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
784  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 29960                  
785  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 22470.000000000004     
786  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 29960                  
787  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
788  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
789  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 29960                  
791  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
793  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
794  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
795  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 29960                  
796  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
797  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 29960                  
798  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 22470.000000000004     
799  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 29960                  
800  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
801  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
802  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 29960                  
804  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
806  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
807  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 29960                  
808  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 29960                  
809  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
810  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 29960                  
811  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 22470.000000000004     
812  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 29960                  
813  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
814  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
815  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 29960                  
817  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
819  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 29960                  
820  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 29960                  
821  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 29960                  
822  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
823  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 29960                  
824  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 22470.000000000004     
825  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 29960                  
826  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
827  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
828  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 29960                  
830  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
831  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 22470.000000000004     
832  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 29960                  
833  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 29960                  
834  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 29960                  
835  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
836  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 29960                  
837  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 22470.000000000004     
838  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 29960                  
839  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
840  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
841  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 29960                  
843  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 44940.00000000001      
844  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 22470.000000000004     
845  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 29960                  
846  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 29960                  
847  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 29960                  
848  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
849  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 29960                  
850  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 22470.000000000004     
851  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 29960                  
852  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
853  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
854  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 29960                  
855  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 37450                  
856  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 44940.00000000001      
857  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 22470.000000000004     
858  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 29960                  
859  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 29960                  
860  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 29960                  
861  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
862  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 29960                  
863  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 22470.000000000004     
