SimId                                AgentId Time Value                  
a312f2fa-e129-4ec8-8591-a4a514762331 82      1    5.574995924924174e+07  
a312f2fa-e129-4ec8-8591-a4a514762331 82      2    0                      
a312f2fa-e129-4ec8-8591-a4a514762331 82      3    0                      
a312f2fa-e129-4ec8-8591-a4a514762331 82      4    0                      
a312f2fa-e129-4ec8-8591-a4a514762331 82      5    0                      
a312f2fa-e129-4ec8-8591-a4a514762331 82      6    0                      
a312f2fa-e129-4ec8-8591-a4a514762331 82      7    0                      
a312f2fa-e129-4ec8-8591-a4a514762331 82      8    0                      
a312f2fa-e129-4ec8-8591-a4a514762331 82      9    0                      
a312f2fa-e129-4ec8-8591-a4a514762331 82      10   9.291659874873694e+06  
a312f2fa-e129-4ec8-8591-a4a514762331 82      11   0                      
a312f2fa-e129-4ec8-8591-a4a514762331 82      12   0                      
a312f2fa-e129-4ec8-8591-a4a514762331 82      13   557499.5924924221      
a312f2fa-e129-4ec8-8591-a4a514762331 82      14   0                      
a312f2fa-e129-4ec8-8591-a4a514762331 82      15   0                      
a312f2fa-e129-4ec8-8591-a4a514762331 82      16   0                      
a312f2fa-e129-4ec8-8591-a4a514762331 82      17   0                      
a312f2fa-e129-4ec8-8591-a4a514762331 82      18   0                      
a312f2fa-e129-4ec8-8591-a4a514762331 82      19   9.291659874873694e+06  
a312f2fa-e129-4ec8-8591-a4a514762331 82      20   0                      
a312f2fa-e129-4ec8-8591-a4a514762331 82      21   0                      
a312f2fa-e129-4ec8-8591-a4a514762331 82      22   92916.59874873701      
a312f2fa-e129-4ec8-8591-a4a514762331 82      23   0                      
a312f2fa-e129-4ec8-8591-a4a514762331 82      24   0                      
a312f2fa-e129-4ec8-8591-a4a514762331 82      25   557499.5924924221      
a312f2fa-e129-4ec8-8591-a4a514762331 82      26   0                      
a312f2fa-e129-4ec8-8591-a4a514762331 82      27   0                      
a312f2fa-e129-4ec8-8591-a4a514762331 82      28   9.291659874873694e+06  
a312f2fa-e129-4ec8-8591-a4a514762331 82      29   0                      
a312f2fa-e129-4ec8-8591-a4a514762331 82      30   0                      
a312f2fa-e129-4ec8-8591-a4a514762331 82      31   92916.59874873701      
a312f2fa-e129-4ec8-8591-a4a514762331 82      32   0                      
a312f2fa-e129-4ec8-8591-a4a514762331 82      33   0                      
a312f2fa-e129-4ec8-8591-a4a514762331 82      34   92916.59874873701      
a312f2fa-e129-4ec8-8591-a4a514762331 82      35   0                      
a312f2fa-e129-4ec8-8591-a4a514762331 82      36   0                      
a312f2fa-e129-4ec8-8591-a4a514762331 82      37   9.84915946736611e+06   
a312f2fa-e129-4ec8-8591-a4a514762331 82      38   0                      
a312f2fa-e129-4ec8-8591-a4a514762331 82      39   0                      
a312f2fa-e129-4ec8-8591-a4a514762331 82      40   92916.59874873701      
a312f2fa-e129-4ec8-8591-a4a514762331 82      41   0                      
a312f2fa-e129-4ec8-8591-a4a514762331 82      42   0                      
a312f2fa-e129-4ec8-8591-a4a514762331 82      43   92916.59874873701      
a312f2fa-e129-4ec8-8591-a4a514762331 82      44   0                      
a312f2fa-e129-4ec8-8591-a4a514762331 82      45   0                      
a312f2fa-e129-4ec8-8591-a4a514762331 82      46   9.38457647362243e+06   
a312f2fa-e129-4ec8-8591-a4a514762331 82      47   0                      
a312f2fa-e129-4ec8-8591-a4a514762331 82      48   0                      
a312f2fa-e129-4ec8-8591-a4a514762331 82      49   650416.1912411591      
a312f2fa-e129-4ec8-8591-a4a514762331 82      50   0                      
a312f2fa-e129-4ec8-8591-a4a514762331 82      51   0                      
a312f2fa-e129-4ec8-8591-a4a514762331 82      52   92916.59874873701      
a312f2fa-e129-4ec8-8591-a4a514762331 82      53   0                      
a312f2fa-e129-4ec8-8591-a4a514762331 82      54   0                      
a312f2fa-e129-4ec8-8591-a4a514762331 82      55   9.38457647362243e+06   
a312f2fa-e129-4ec8-8591-a4a514762331 82      56   0                      
a312f2fa-e129-4ec8-8591-a4a514762331 82      57   0                      
a312f2fa-e129-4ec8-8591-a4a514762331 82      58   185833.19749747403     
a312f2fa-e129-4ec8-8591-a4a514762331 82      59   0                      
a312f2fa-e129-4ec8-8591-a4a514762331 82      60   0                      
a312f2fa-e129-4ec8-8591-a4a514762331 82      61   650416.1912411591      
a312f2fa-e129-4ec8-8591-a4a514762331 82      62   0                      
a312f2fa-e129-4ec8-8591-a4a514762331 82      63   0                      
a312f2fa-e129-4ec8-8591-a4a514762331 82      64   9.38457647362243e+06   
a312f2fa-e129-4ec8-8591-a4a514762331 82      65   0                      
a312f2fa-e129-4ec8-8591-a4a514762331 82      66   0                      
a312f2fa-e129-4ec8-8591-a4a514762331 82      67   185833.19749747403     
a312f2fa-e129-4ec8-8591-a4a514762331 82      68   0                      
a312f2fa-e129-4ec8-8591-a4a514762331 82      69   0                      
a312f2fa-e129-4ec8-8591-a4a514762331 82      70   185833.19749747403     
a312f2fa-e129-4ec8-8591-a4a514762331 82      71   0                      
a312f2fa-e129-4ec8-8591-a4a514762331 82      72   0                      
